45,75,105,135,Experiment,Participant
-11,-15,8,-10,Continuous,1
-3,2,0,-10,Continuous,2
-8,-8,-7,-10,Continuous,3
-1,14,-5,-2,Continuous,4
-19,-21,-25,1,Continuous,5
-4,-8,-6,-6,Continuous,6
-12,1,7,-16,Continuous,7
-7,-11,-9,-12,Continuous,8
-13,-22,-16,-21,Continuous,9
0,,,1,Continuous,10
-8,-7,-6,,Continuous,11
-26,24,-22,-24,Continuous,12
7,20,21,,Continuous,13
-17,-16,-24,-14,Continuous,14
-20,-17,17,20,Continuous,15
-24,-27,-29,-31,Continuous,16
-16,-24,-14,-17,Continuous,17
-5,-8,-10,-31,Continuous,18
-20,-23,-13,-15,Continuous,19
-20,-2,-22,-19,Continuous,20
,-29,-18,-20,Continuous,21
-12,-9,-7,-8,Continuous,22
-17,-11,-13,-18,Continuous,24
,-35,-35,-30,Continuous,25
1,-1,-43,-36,Terminal,1
-20,-17,-13,-52,Terminal,2
-15,-22,-18,-14,Terminal,3
-30,-34,-40,-39,Terminal,4
0,-18,-11,-45,Terminal,5
,-50,-71,-31,Terminal,6
-30,-40,-35,-36,Terminal,7
,-18,-16,-23,Terminal,8
,-39,-43,-44,Terminal,9
-27,-32,-22,-36,Terminal,10
-1,-23,,-1,Terminal,11
-18,-15,-18,-24,Terminal,12
-18,-31,-15,-19,Terminal,13
-22,-16,27,22,Terminal,14
-9,34,-15,-69,Terminal,15
,-40,-45,-39,Terminal,16
-12,,17,-8,Terminal,17
-15,-26,-30,-21,Terminal,18
,-11,-25,-44,Terminal,19
-15,-20,-16,-10,Terminal,20
-27,-26,-25,-27,Terminal,21
,-39,-37,-35,Terminal,22
,-42,-26,-42,Terminal,23
-8,-25,-18,-81,Terminal,24
-13,-24,-14,-20,Terminal,25
-18,-29,-27,-21,Terminal,26
-6,-1,-9,-6,Terminal,27
-9,-7,-4,7,Terminal,28
-20,-25,-24,-27,Terminal,29
-19,-26,-18,-35,Terminal,30
63,28,-32,-93,Cursor-Jump,1
-29,-35,-32,-33,Cursor-Jump,2
-29,-36,-33,-36,Cursor-Jump,3
-18,-16,-17,-10,Cursor-Jump,4
-1,-14,-24,-19,Cursor-Jump,5
-21,-25,-35,-26,Cursor-Jump,6
-1,-33,-23,-1,Cursor-Jump,7
35,-10,10,11,Cursor-Jump,8
-11,-21,-70,-115,Cursor-Jump,9
-27,-40,-49,-37,Cursor-Jump,10
-16,-14,-27,-13,Cursor-Jump,11
-18,-17,-28,-20,Cursor-Jump,12
1,0,0,0,Cursor-Jump,13
40,31,-33,-52,Cursor-Jump,14
-7,-13,,-9,Cursor-Jump,15
-27,-35,-34,-34,Cursor-Jump,16
-24,-25,-35,-23,Cursor-Jump,17
0,0,-1,1,Cursor-Jump,18
-10,-8,-7,-7,Cursor-Jump,19
