45,75,105,135,45*,75*,105*,135*,Experiment,Participant
7,4,-6,-7,-6,-5,-7,-6,Continuous,1
11,15,-8,10,11,7,7,8,Continuous,2
3,-2,0,10,20,41,NA,13,Continuous,3
8,8,7,10,6,9,9,7,Continuous,4
1,-14,5,2,-6,-5,3,-9,Continuous,5
19,21,25,-1,18,21,25,23,Continuous,6
4,8,6,6,5,5,5,6,Continuous,7
12,-1,-7,16,18,14,21,10,Continuous,8
7,11,9,12,7,8,7,5,Continuous,9
13,22,16,21,23,21,25,27,Continuous,10
0,NA,NA,-1,-1,1,0,-1,Continuous,11
8,7,6,NA,6,8,5,5,Continuous,12
26,-24,22,24,29,27,20,28,Continuous,13
-7,-20,-21,NA,-9,-60,-12,-20,Continuous,14
17,16,24,14,18,17,15,19,Continuous,15
20,17,-17,-20,24,18,16,23,Continuous,16
24,27,29,31,19,23,21,24,Continuous,17
16,24,14,17,21,15,19,14,Continuous,18
5,8,10,31,13,11,18,11,Continuous,19
20,23,13,15,12,13,14,9,Continuous,20
20,2,22,19,18,19,18,-10,Continuous,21
NA,29,18,20,NA,37,31,26,Continuous,22
12,9,7,8,6,5,4,4,Continuous,23
0,-1,0,0,NA,NA,NA,NA,Continuous,24
17,11,13,18,17,7,17,12,Continuous,25
NA,35,35,30,22,25,27,27,Continuous,26
29,14,11,NA,11,11,14,17,Continuous,27
1,1,0,0,1,0,0,-1,Continuous,28
-2,1,1,-1,0,-1,-1,-2,Continuous,29
12,-14,-11,-17,12,7,9,NA,Continuous,30
14,0,11,11,10,9,10,9,Continuous,31
24,20,20,20,20,25,22,18,Continuous,32
NA,NA,NA,NA,NA,0,-2,-1,Continuous,33
26,38,35,35,NA,37,33,35,Continuous,34
27,26,-34,-24,21,35,31,-25,Terminal,1
-1,1,43,36,-6,-9,27,10,Terminal,2
20,17,13,52,18,16,15,18,Terminal,3
15,22,18,14,16,15,16,21,Terminal,4
30,34,40,39,NA,32,36,37,Terminal,5
NA,50,71,31,NA,NA,31,46,Terminal,6
30,40,35,36,NA,32,38,39,Terminal,7
NA,18,16,23,26,19,19,19,Terminal,8
NA,39,43,44,25,43,42,40,Terminal,9
27,32,22,36,NA,30,40,24,Terminal,10
18,15,18,24,22,19,-14,-21,Terminal,11
22,16,-27,-22,21,20,-16,-18,Terminal,12
9,-34,15,69,26,-26,23,36,Terminal,13
NA,40,45,39,NA,41,42,41,Terminal,14
12,NA,-17,8,16,12,24,26,Terminal,15
15,26,30,21,29,24,35,36,Terminal,16
NA,11,25,44,NA,33,42,39,Terminal,17
15,20,16,10,20,17,17,11,Terminal,18
27,26,25,27,25,23,25,29,Terminal,19
NA,39,37,35,NA,NA,27,43,Terminal,20
NA,42,26,42,26,17,17,17,Terminal,21
8,25,18,81,23,5,11,7,Terminal,22
13,24,14,20,11,16,15,15,Terminal,23
18,29,27,21,22,24,22,23,Terminal,24
9,7,4,-7,7,7,5,6,Terminal,25
5,10,-13,7,4,14,16,7,Terminal,26
NA,32,32,34,NA,36,33,40,Terminal,27
30,36,32,31,23,29,44,35,Terminal,28
18,35,15,15,22,16,29,36,Terminal,29
30,25,21,36,NA,31,35,55,Terminal,30
25,23,29,28,23,25,29,31,Terminal,31
20,25,24,27,20,21,23,23,Terminal,32
18,20,19,22,18,18,21,17,Terminal,33
-63,-28,32,93,-73,-26,38,84,Cursor-Jump,1
29,35,32,33,30,42,35,27,Cursor-Jump,2
29,36,33,36,26,24,31,22,Cursor-Jump,3
18,16,17,10,12,9,10,14,Cursor-Jump,4
1,14,24,19,17,20,16,12,Cursor-Jump,5
21,25,35,26,27,22,26,33,Cursor-Jump,6
1,33,23,1,25,30,29,27,Cursor-Jump,7
-35,10,-10,-11,6,6,-14,-5,Cursor-Jump,8
27,40,49,37,NA,45,41,39,Cursor-Jump,9
16,14,27,13,15,14,13,15,Cursor-Jump,10
18,17,28,20,19,20,18,24,Cursor-Jump,11
-1,0,0,0,NA,36,39,34,Cursor-Jump,12
7,13,NA,9,21,9,6,21,Cursor-Jump,13
27,35,34,34,27,34,39,36,Cursor-Jump,14
24,25,35,23,30,36,34,39,Cursor-Jump,15
0,0,1,-1,NA,1,53,-1,Cursor-Jump,16
10,8,7,7,11,12,13,13,Cursor-Jump,17
20,21,23,20,21,22,25,25,Cursor-Jump,18
19,26,28,26,23,24,29,32,Cursor-Jump,19
NA,10,10,13,11,11,10,11,Cursor-Jump,20
27,50,36,28,NA,31,34,54,Cursor-Jump,21
26,23,23,32,29,30,31,32,Cursor-Jump,22
0,0,1,0,0,12,1,63,Cursor-Jump,23
30,31,38,42,NA,36,36,32,Cursor-Jump,24
27,32,66,31,23,27,26,41,Cursor-Jump,25
14,13,14,11,13,13,12,11,Cursor-Jump,26
9,14,15,9,18,15,19,14,Cursor-Jump,27
NA,50,45,44,NA,38,34,46,Cursor-Jump,28
0,0,-1,-1,28,31,33,33,Cursor-Jump,29
29,26,26,38,28,36,27,34,Cursor-Jump,30
10,14,12,11,13,17,12,11,Cursor-Jump,31
NA,46,36,35,NA,47,42,43,Cursor-Jump,32
22,32,30,35,NA,35,26,40,Cursor-Jump,33
