df.Experiment,medianaims
Continuous,9
Continuous,11.25
Continuous,8
Continuous,4.5
Continuous,21
Continuous,5.5
Continuous,12.75
Continuous,8.5
Continuous,21.25
Continuous,0.75
Continuous,6.25
Continuous,25.75
Continuous,18
Continuous,17
Continuous,19.5
Continuous,25
Continuous,16.75
Continuous,10.5
Continuous,15
Continuous,18.75
Continuous,25.5
Continuous,6.5
Continuous,14.75
Continuous,30.5
Terminal,14
Terminal,17.75
Terminal,16
Terminal,34.25
Terminal,16.5
Terminal,40.5
Terminal,33.75
Terminal,18.5
Terminal,37.75
Terminal,26.75
Terminal,8.75
Terminal,19.75
Terminal,17.5
Terminal,21.25
Terminal,25.25
Terminal,40.5
Terminal,13
Terminal,25
Terminal,29
Terminal,16.75
Terminal,25.25
Terminal,32.5
Terminal,29.5
Terminal,18.25
Terminal,16
Terminal,23.25
Terminal,7.5
Terminal,7
Terminal,22.5
Terminal,22.25
Cursor-Jump,51.5
Cursor-Jump,32.5
Cursor-Jump,29.75
Cursor-Jump,13.75
Cursor-Jump,16.5
Cursor-Jump,26
Cursor-Jump,20
Cursor-Jump,8.25
Cursor-Jump,35
Cursor-Jump,39.75
Cursor-Jump,14.75
Cursor-Jump,19.25
Cursor-Jump,18
Cursor-Jump,36
Cursor-Jump,12
Cursor-Jump,34.5
Cursor-Jump,29.75
Cursor-Jump,0.75
Cursor-Jump,10
Cursor-Jump,22
Cursor-Jump,26.25
Cursor-Jump,10.5
Cursor-Jump,33
Cursor-Jump,27.5
Cursor-Jump,3.25
Cursor-Jump,44.25
Cursor-Jump,35.25
Cursor-Jump,13
Cursor-Jump,12
Cursor-Jump,39.5
Cursor-Jump,33
