45,75,105,135,45*,75*,105*,135*,Experiment,Participant
38,71,111,142,51,80,112,141,Continuous,1
34,60,113,125,34,68,98,127,Continuous,2
42,77,105,125,25,34,NA,122,Continuous,3
37,67,98,125,39,66,96,128,Continuous,4
44,89,100,133,51,80,102,144,Continuous,5
26,54,80,136,27,54,80,112,Continuous,6
41,67,99,129,40,70,100,129,Continuous,7
33,76,112,119,27,61,84,125,Continuous,8
38,64,96,123,38,67,98,130,Continuous,9
32,53,89,114,22,54,80,108,Continuous,10
45,NA,NA,136,46,74,105,136,Continuous,11
37,68,99,NA,39,67,100,130,Continuous,12
19,99,83,111,16,48,85,107,Continuous,13
52,95,126,NA,54,135,117,155,Continuous,14
28,59,81,121,27,58,90,116,Continuous,15
25,58,122,155,21,57,89,112,Continuous,16
21,48,76,104,26,52,84,111,Continuous,17
29,51,91,118,24,60,86,121,Continuous,18
40,67,95,104,32,64,87,124,Continuous,19
25,52,92,120,33,62,91,126,Continuous,20
25,73,83,116,27,56,87,145,Continuous,21
NA,46,87,115,NA,38,74,109,Continuous,22
33,66,98,127,39,70,101,131,Continuous,23
28,64,92,117,28,68,88,123,Continuous,24
NA,40,70,105,23,50,78,108,Continuous,25
16,61,94,NA,34,64,91,118,Continuous,26
44,74,105,135,44,75,105,136,Continuous,27
47,74,104,136,45,76,106,137,Continuous,28
33,89,116,152,33,68,96,NA,Continuous,29
31,75,94,124,35,66,95,126,Continuous,30
21,55,85,115,25,50,83,117,Continuous,31
19,37,70,100,NA,38,72,100,Continuous,32
18,49,139,159,24,40,74,160,Terminal,1
46,74,62,99,51,84,78,125,Terminal,2
25,58,92,83,27,59,90,117,Terminal,3
30,53,87,121,29,60,89,114,Terminal,4
15,41,65,96,NA,43,69,98,Terminal,5
45,57,94,90,38,45,89,NA,Terminal,6
NA,25,34,104,NA,NA,74,89,Terminal,7
15,35,70,99,NA,43,67,96,Terminal,8
NA,57,89,112,19,56,86,116,Terminal,9
NA,36,62,91,20,32,63,95,Terminal,10
18,43,83,99,NA,45,65,111,Terminal,11
44,52,NA,134,25,58,83,121,Terminal,12
27,60,87,111,23,56,119,156,Terminal,13
27,44,90,116,64,89,125,137,Terminal,14
23,59,132,157,24,55,121,153,Terminal,15
36,109,90,66,19,101,82,99,Terminal,16
NA,35,60,96,NA,34,63,94,Terminal,17
33,NA,122,127,29,63,81,109,Terminal,18
30,49,75,114,16,51,70,99,Terminal,19
NA,64,80,91,NA,42,63,96,Terminal,20
30,55,89,125,25,58,88,124,Terminal,21
18,49,80,108,20,52,80,106,Terminal,22
NA,36,68,100,NA,NA,78,92,Terminal,23
NA,33,79,93,19,58,88,118,Terminal,24
37,50,87,54,22,70,94,128,Terminal,25
32,51,91,115,34,59,90,120,Terminal,26
27,46,78,114,23,51,83,112,Terminal,27
39,74,96,129,38,65,96,127,Terminal,28
36,68,101,142,38,68,100,129,Terminal,29
40,65,118,128,41,61,89,128,Terminal,30
NA,43,73,101,NA,39,72,95,Terminal,31
15,39,73,104,22,46,61,100,Terminal,32
27,40,90,120,23,59,76,99,Terminal,33
15,50,84,99,NA,44,70,80,Terminal,34
20,52,76,107,22,50,76,104,Terminal,35
25,50,81,108,25,54,82,112,Terminal,36
27,55,86,113,27,57,84,118,Terminal,37
26,49,87,100,23,53,77,111,Terminal,38
108,103,73,42,118,101,67,51,Cursor-Jump,1
16,40,73,102,15,33,70,108,Cursor-Jump,2
16,39,72,99,19,51,74,113,Cursor-Jump,3
27,59,88,125,33,66,95,121,Cursor-Jump,4
44,61,81,116,28,55,89,123,Cursor-Jump,5
24,50,70,109,18,53,79,102,Cursor-Jump,6
44,42,82,134,20,45,76,108,Cursor-Jump,7
80,65,115,146,39,69,119,140,Cursor-Jump,8
34,54,35,20,36,65,48,96,Cursor-Jump,9
18,35,56,98,NA,30,64,96,Cursor-Jump,10
29,61,78,122,30,61,92,120,Cursor-Jump,11
27,58,77,115,26,55,87,111,Cursor-Jump,12
46,75,105,135,NA,39,66,101,Cursor-Jump,13
85,106,72,83,72,114,73,70,Cursor-Jump,14
38,62,NA,126,24,66,99,114,Cursor-Jump,15
18,40,71,101,18,41,66,99,Cursor-Jump,16
21,50,70,112,15,39,71,96,Cursor-Jump,17
45,75,104,136,NA,74,52,136,Cursor-Jump,18
35,67,98,128,34,63,92,122,Cursor-Jump,19
25,54,82,115,24,53,80,110,Cursor-Jump,20
26,49,77,109,22,51,76,103,Cursor-Jump,21
NA,65,95,122,34,64,95,124,Cursor-Jump,22
18,25,69,107,NA,44,71,81,Cursor-Jump,23
19,52,82,103,16,45,74,103,Cursor-Jump,24
45,75,104,135,45,63,104,72,Cursor-Jump,25
77,NA,59,72,113,31,64,102,Cursor-Jump,26
15,44,67,93,NA,39,69,103,Cursor-Jump,27
18,43,39,104,22,48,79,94,Cursor-Jump,28
31,62,91,124,32,62,93,124,Cursor-Jump,29
36,61,90,126,27,60,86,121,Cursor-Jump,30
NA,25,60,91,NA,37,71,89,Cursor-Jump,31
45,75,106,136,17,44,72,102,Cursor-Jump,32
16,49,79,97,17,39,78,101,Cursor-Jump,33
35,61,93,124,32,58,93,124,Cursor-Jump,34
NA,29,69,100,NA,28,63,92,Cursor-Jump,35
23,43,75,100,NA,40,79,95,Cursor-Jump,36
