45,75,105,135,45*,75*,105*,135*
38,71,111,142,51,80,112,141
34,60,113,125,34,68,98,127
42,77,105,125,25,34,NA,122
37,67,98,125,39,66,96,128
44,89,100,133,51,80,102,144
26,54,80,136,27,54,80,112
41,67,99,129,40,70,100,129
33,76,112,119,27,61,84,125
38,64,96,123,38,67,98,130
32,53,89,114,22,54,80,108
45,NA,NA,136,46,74,105,136
37,68,99,NA,39,67,100,130
19,99,83,111,16,48,85,107
52,95,126,NA,54,135,117,155
28,59,81,121,27,58,90,116
25,58,122,155,21,57,89,112
21,48,76,104,26,52,84,111
29,51,91,118,24,60,86,121
40,67,95,104,32,64,87,124
25,52,92,120,33,62,91,126
25,73,83,116,27,56,87,145
NA,46,87,115,NA,38,74,109
33,66,98,127,39,70,101,131
28,64,92,117,28,68,88,123
NA,40,70,105,23,50,78,108
16,61,94,NA,34,64,91,118
44,74,105,135,44,75,105,136
47,74,104,136,45,76,106,137
33,89,116,152,33,68,96,NA
31,75,94,124,35,66,95,126
21,55,85,115,25,50,83,117
19,37,70,100,NA,38,72,100
