p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.02896499633789,-0.598108530044556,-1.3002120256424,-0.5639768242836,-0.989981830120087,-0.632169008255005,-0.411070913076401,-0.734226167201996,-1.81372153759003,-1.95346736907959,-1.34436583518982,-0.697758376598358,-0.204423636198044,-0.655407547950745,-0.36283278465271
-9.34731674194336,-1.15367996692657,-2.36074948310852,-1.10084283351898,-1.81575465202332,-1.14795255661011,-0.773244440555573,-1.36716604232788,-3.26275849342346,-3.38034319877625,-2.12721824645996,-1.12028586864471,-0.38594663143158,-1.27201902866364,-0.669038474559784
-10.9291610717773,-1.67305064201355,-3.28889179229736,-1.61331820487976,-2.60016369819641,-1.60022187232971,-1.10284411907196,-1.93294966220856,-4.50503158569336,-4.72028636932373,-2.88763332366943,-1.50068473815918,-0.558833420276642,-1.85993003845215,-0.939492881298065
-12.3418235778809,-2.16155385971069,-4.13794946670532,-2.1038224697113,-3.34528088569641,-2.01658082008362,-1.40963876247406,-2.45310306549072,-5.62211227416992,-5.978600025177,-3.62625455856323,-1.87135362625122,-0.727305769920349,-2.4259946346283,-1.18722343444824
-13.6691284179688,-2.62367939949036,-4.934645652771,-2.57450842857361,-4.0530743598938,-2.41146111488342,-1.69951605796814,-2.94122719764709,-6.65648317337036,-7.16025686264038,-4.3437066078186,-2.23683595657349,-0.892633736133575,-2.97487759590149,-1.42036056518555
-14.92613697052,-3.06320667266846,-5.69259691238403,-3.0272912979126,-4.72541379928589,-2.79242777824402,-1.97606420516968,-3.40594053268433,-7.63060092926025,-8.26992702484131,-5.04059600830078,-2.59780836105347,-1.05521953105927,-3.50976419448853,-1.64397931098938
-16.1179904937744,-3.48331832885742,-6.4189510345459,-3.46387577056885,-5.36407470703125,-3.16346573829651,-2.24150776863098,-3.85272717475891,-8.55664920806885,-9.31199645996094,-5.7175121307373,-2.95441055297852,-1.2152099609375,-4.03284025192261,-1.861248254776
-17.2482681274414,-3.88669466972351,-7.1176552772522,-3.88577890396118,-5.97074460983276,-3.52669310569763,-2.49726152420044,-4.28509998321533,-9.44152927398682,-10.2905826568604,-6.37502717971802,-3.30670738220215,-1.37267625331879,-4.54561567306519,-2.07414674758911
-18.3201789855957,-4.27559328079224,-7.7910680770874,-4.29435157775879,-6.54702568054199,-3.88325428962708,-2.7442581653595,-4.70533132553101,-10.2894134521484,-11.2095537185669,-7.01369762420654,-3.65475225448608,-1.52766692638397,-5.04914379119873,-2.28391170501709
-19.3367404937744,-4.65191698074341,-8.44075012207031,-4.6907958984375,-7.09444046020508,-4.23378562927246,-2.98314189910889,-5.11491203308105,-11.1030550003052,-12.0725402832031,-7.63406324386597,-3.99859666824341,-1.68022346496582,-5.54416847229004,-2.4913170337677
-20.3008136749268,-5.01726865768433,-9.06785583496094,-5.07618284225464,-7.61443471908569,-4.57865762710571,-3.21438384056091,-5.51484060287476,-11.8844547271729,-12.8829536437988,-8.23664855957031,-4.33829116821289,-1.83038485050201,-6.03122520446777,-2.69684791564941
-21.2151069641113,-5.37300062179565,-9.67332649230957,-5.45146656036377,-8.10838222503662,-4.91810178756714,-3.43834972381592,-5.9058051109314,-12.6352081298828,-13.6439971923828,-8.8219633102417,-4.6738862991333,-1.97818887233734,-6.51070737838745,-2.90080904960632
-22.0821895599365,-5.7202525138855,-10.2579851150513,-5.81749725341797,-8.57758712768555,-5.25227689743042,-3.65534043312073,-6.28829669952393,-13.3566789627075,-14.3586778640747,-9.3905029296875,-5.00543117523193,-2.12367272377014,-6.98291206359863,-3.10339260101318
