schedule,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,-0.507824929,-3.769413051,9.889491906,-0.708020472,5.599860174,1.922393139,-8.10153525,0.368890566,4.247760421,3.864166742,2.656649208,4.708385367,-0.976786092,-4.790891948,5.368680955
0,-3.281914362,2.06435134,-1.05393431,1.931214541,7.344151566,20.18966575,9.082187533,0.287625846,6.114508796,6.968627274,2.043783158,0.282951782,18.26658179,2.529685717,1.895249914
0,NA,-7.270281548,-0.66258759,4.039684298,4.831105802,-3.06499624,-3.197176427,-2.467261366,0.303194596,7.164384681,-1.849187765,-7.074288304,3.129331413,-3.769413051,-1.669415284
0,NA,-6.243531836,9.753377473,-0.210652216,-4.746782349,10.69764685,2.181354534,0.71308174,3.922801345,-3.208164228,11.58540262,3.042568575,4.211751318,4.575943258,2.086814296
0,NA,0.445403884,9.105818703,0.287625846,3.262394964,5.306270205,1.676623838,4.475990465,-1.541864723,2.408990582,-3.618999624,12.42265583,3.67043192,8.701306683,3.776914019
0,NA,-3.530193001,-1.373905917,3.290899515,-1.62568384,-5.765026444,-6.422436785,-0.066693489,5.510283554,7.874493928,1.069671238,-4.113163992,-0.860846841,-0.334492261,1.249614359
0,NA,-3.687146828,-4.711417964,0.668129276,14.025952,6.930242646,2.292697998,-6.536390069,-5.706690875,8.834944857,6.098182219,4.783990466,1.133718741,-1.040336475,7.010019967
0,4.464139381,4.091673382,2.828271508,1.478372942,2.511718572,9.83242876,2.9976594,1.150572976,11.40466847,2.625583935,5.632609224,9.6857665,12.91357548,0.428199737,-1.534864117
0,4.613512949,-0.836517735,6.369704252,0.728458888,1.384812656,-2.241651793,-5.781340781,1.761518548,-1.19901357,4.252992412,-5.776593903,6.900155715,4.187517617,-0.887368306,8.733544335
0,NA,1.450886559,6.604826569,-7.90071484,0.077362016,4.552682827,1.761978326,-2.050239525,16.29918056,2.646906075,-0.667580999,7.100034653,-2.07814639,-2.785878474,8.691159691
0,NA,8.755058531,5.2842442,2.508144302,12.12532901,6.408003072,-4.383229602,2.913589999,9.009838207,0.584080376,3.52792874,1.252808151,4.20967866,-2.9557098,-1.978646013
0,NA,-5.297313831,-7.361766654,-2.892217773,-3.37695183,6.102685141,1.024729438,-0.329670369,7.983327492,-7.792956359,6.891755164,-4.843747563,2.603891358,5.966953548,5.450986314
0,-8.317596385,-4.288946697,7.043503201,-6.104695225,-1.870097587,2.414269484,-6.151077859,-0.032860873,5.924178967,5.747842034,-2.758468436,2.086813688,2.696302096,7.590102161,-2.511718572
0,NA,3.32909289,6.320185642,3.46465228,8.62516434,4.827621181,3.55420116,1.7187014,10.26470129,0.005721938,6.120183539,0.920752227,-2.911080279,-2.976385456,3.504178661
0,5.426420685,-2.527491589,1.16761767,0.319270231,-1.640907454,7.945929747,-0.57069482,5.368680955,13.26447137,1.113487448,5.824388203,8.917336831,1.326820384,-1.95791873,6.398677599
0,NA,1.273767964,9.47057565,2.623939227,-2.467261366,8.442776843,3.124309195,-0.175510843,4.080804553,3.37695183,-0.105812297,-0.498207344,0.590285798,-2.06352021,4.111562128
