p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.921360016,-2.641018629,-0.166775003,-0.505489886,-0.118010022,-0.113902129,-0.539054394,-0.195488438,-0.603585124,-1.968206525,-3.322122335,-4.857861519,-1.42E-05,-2.491730928,-4.632556438
-5.313764095,-4.446763515,-0.330487937,-0.89798665,-0.211886585,-0.222444728,-0.968197167,-0.375402868,-1.174896598,-3.281704664,-5.83819294,-8.397824287,-1.98E-05,-4.181904316,-7.972441196
-7.352539539,-5.860680103,-0.491421193,-1.235391378,-0.304169536,-0.326899767,-1.357082367,-0.544494748,-1.723394871,-4.286651611,-7.793298244,-11.18562222,-2.24E-05,-5.499978542,-10.56745434
-9.145139694,-7.07806778,-0.649762571,-1.544185638,-0.395617843,-0.428226292,-1.727362037,-0.706020296,-2.250025034,-5.137898445,-9.356446266,-13.52137756,-2.37E-05,-6.629961491,-12.70755005
-10.7580719,-8.185477257,-0.805641174,-1.836521864,-0.486263692,-0.527147472,-2.085867882,-0.862211108,-2.755659342,-5.905053616,-10.64422131,-15.56587696,-2.45E-05,-7.651518345,-14.54852772
-12.23310852,-9.22177887,-0.95914942,-2.11801672,-0.576114953,-0.624208629,-2.434854031,-1.01459682,-3.241134644,-6.619729042,-11.73708248,-17.40671539,-2.49E-05,-8.599917412,-16.17619705
-13.59704304,-10.20491695,-1.110356927,-2.391304731,-0.665178597,-0.719820976,-2.775158167,-1.164225936,-3.707254648,-7.296587944,-12.69059753,-19.09294701,-2.52E-05,-9.491495132,-17.63968468
-14.86756229,-11.14363098,-1.259318948,-2.657659292,-0.75346154,-0.814294577,-3.107177258,-1.311817527,-4.154791355,-7.942721367,-13.54317665,-20.65324783,-2.54E-05,-10.33448029,-18.9687233
-16.0567894,-12.04259396,-1.406081796,-2.917731047,-0.840970576,-0.907863379,-3.431168795,-1.457864761,-4.584485054,-8.561824799,-14.32140541,-22.10543251,-2.55E-05,-11.13359165,-20.18265724
-17.17341805,-12.90466309,-1.550685883,-3.171885729,-0.92771256,-1.000703812,-3.747344255,-1.602705956,-4.997047424,-9.156062126,-15.04372215,-23.4614563,-2.56E-05,-11.89199734,-21.29512978
-18.22399902,-13.73186874,-1.693168044,-3.420357227,-1.013694167,-1.092949033,-4.055897713,-1.746573448,-5.393161774,-9.726892471,-15.72294426,-24.73004341,-2.57E-05,-12.61214542,-22.31653976
-19.21372032,-14.52584743,-1.833562374,-3.663317919,-1.098922014,-1.184699416,-4.357014179,-1.88962698,-5.773483276,-10.27544403,-16.3680172,-25.91806984,-2.57E-05,-13.29612732,-23.25534058
-20.1468811,-15.28803158,-1.971901298,-3.900910616,-1.183402777,-1.276030779,-4.650873661,-2.031976461,-6.138641834,-10.80267811,-16.98521233,-27.0313015,-2.57E-05,-13.94582558,-24.11873245
-21.02718163,-16.01973915,-2.108216047,-4.133263111,-1.267143011,-1.367000461,-4.937650681,-2.17369771,-6.489242077,-11.30946445,-17.57895851,-28.07478905,-2.57E-05,-14.56298923,-24.91304207
-21.8578968,-16.72220612,-2.24253726,-4.360495567,-1.350149274,-1.457651734,-5.217516422,-2.314842939,-6.825864315,-11.79661369,-18.15241241,-29.05307961,-2.57E-05,-15.14925861,-25.64393806
-22.64198875,-17.39661217,-2.374894381,-4.582722664,-1.432427883,-1.548017263,-5.490637779,-2.455448627,-7.149065971,-12.26489449,-18.7078495,-29.97034073,-2.57E-05,-15.70618534,-26.31655502
-23.38217735,-18.04407883,-2.505316257,-4.800055981,-1.513985276,-1.638121843,-5.757176876,-2.595540285,-7.459382057,-12.71504211,-19.24693489,-30.83042717,-2.57E-05,-16.23524094,-26.93557549
