p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.69327783584595,-0.0222113691270351,-8.04364042039651e-09,-3.27757835388184,-4.54256916046143,-1.93518924713135,-2.96832060813904,-5.01952314376831,-9.27749681522982e-07,-1.62882649898529,-1.103511095047,-6.99792385101318,-0.152611523866653,-0.635465264320374
-4.75643014907837,-0.042732086032629,-1.44112917155326e-08,-5.39815902709961,-7.7929801940918,-3.10249757766724,-5.46697568893433,-6.37011384963989,-1.60644140123622e-06,-2.87136793136597,-1.9513133764267,-11.3492612838745,-0.300989359617233,-1.22620022296906
-6.40701198577881,-0.0628757402300835,-1.9468989975735e-08,-6.92838859558105,-10.2933216094971,-3.98847198486328,-7.61826992034912,-7.6533031463623,-2.10344319384603e-06,-3.86347079277039,-2.6497848033905,-14.6797952651978,-0.445736944675446,-1.78013241291046
-7.78393077850342,-0.0829296037554741,-2.34925963127353e-08,-8.1476993560791,-12.341381072998,-4.7614541053772,-9.50728893280029,-8.87245941162109,-2.46773174694681e-06,-4.69024276733398,-3.25827479362488,-17.5135765075684,-0.587345957756042,-2.30334496498108
-8.975998878479,-0.102956503629684,-2.66959485628604e-08,-9.19431686401367,-14.1018495559692,-5.48002767562866,-11.1935882568359,-10.0307760238647,-2.73496857516875e-06,-5.40513801574707,-3.80998611450195,-20.0299835205078,-0.726217150688171,-2.8005223274231
-10.0401172637939,-0.122970186173916,-2.92471717955323e-08,-10.1370248794556,-15.6668424606323,-6.16490697860718,-12.7191944122314,-11.131290435791,-2.93115817839862e-06,-6.04185819625854,-4.32358121871948,-22.2996025085449,-0.86267751455307,-3.27528691291809
-11.0128517150879,-0.142973646521568,-3.12793666523703e-08,-11.010440826416,-17.088830947876,-6.82372903823853,-14.1140766143799,-12.176887512207,-3.07528716803063e-06,-6.62177133560181,-4.80963516235352,-24.3578128814697,-0.996994137763977,-3.73045468330383
-11.9178104400635,-0.162967562675476,-3.28982565633851e-08,-11.8323545455933,-18.3985786437988,-7.45960426330566,-15.3998908996582,-13.1703062057495,-3.18123511533486e-06,-7.15854215621948,-5.27422094345093,-26.2278156280518,-1.1293853521347,-4.16822862625122
-12.7703371047974,-0.182952076196671,-3.41879449194948e-08,-12.6122522354126,-19.6149024963379,-8.07406616210938,-16.5925445556641,-14.1141510009766,-3.25915971188806e-06,-7.6610164642334,-5.72090339660645,-27.9279155731201,-1.26003003120422,-4.59034633636475
-13.5805044174194,-0.202927216887474,-3.52153968208313e-08,-13.3555068969727,-20.7499923706055,-8.66808986663818,-17.7039546966553,-15.0108957290649,-3.31650153384544e-06,-8.13502216339111,-6.15184736251831,-29.4738922119141,-1.38907480239868,-4.9981894493103
-14.3550186157227,-0.222892999649048,-3.60339384997133e-08,-14.0654392242432,-21.8123149871826,-9.2424430847168,-18.7432518005371,-15.8628921508789,-3.35871618517558e-06,-8.58449268341064,-6.56843328475952,-30.8798236846924,-1.51664006710052,-5.39286947250366
-15.0984315872192,-0.242849424481392,-3.66860497535981e-08,-14.7443332672119,-22.8082046508789,-9.79780769348145,-19.717601776123,-16.6723709106445,-3.38980657943466e-06,-9.01216697692871,-6.97160148620605,-32.1584281921387,-1.64282524585724,-5.77529144287109
-15.8139142990112,-0.262796521186829,-3.72055701802765e-08,-15.3939342498779,-23.7427234649658,-10.3348207473755,-20.6327838897705,-17.4414558410645,-3.41271243087249e-06,-9.42002582550049,-7.36204099655151,-33.3212471008301,-1.76771235466003,-6.14620113372803
-16.5037498474121,-0.282734274864197,-3.76194613238567e-08,-16.0156993865967,-24.6201515197754,-10.8540935516357,-21.4935741424561,-18.1721611022949,-3.4295935620321e-06,-9.80956935882568,-7.74029731750488,-34.3787727355957,-1.89136946201324,-6.50622367858887
-17.1696491241455,-0.302662670612335,-3.79491993385273e-08,-16.6109142303467,-25.4442481994629,-11.3562126159668,-22.3040161132812,-18.8664035797119,-3.44203817803646e-06,-10.1819829940796,-8.10682964324951,-35.3405380249023,-2.0138533115387,-6.85588979721069
-17.8129463195801,-0.322581738233566,-3.82118940933651e-08,-17.1807594299316,-26.2184009552002,-11.8417453765869,-23.0676136016846,-19.5260009765625,-3.45121475220367e-06,-10.5382471084595,-8.46204662322998,-36.2152137756348,-2.13521099090576,-7.19565868377686
-18.4347305297852,-0.34249147772789,-3.84211773507559e-08,-17.7263374328613,-26.9457168579102,-12.3112392425537,-23.7874565124512,-20.1526832580566,-3.45798298440059e-06,-10.8792037963867,-8.806321144104,-37.010684967041,-2.25548243522644,-7.52593183517456
-19.0359268188477,-0.362391889095306,-3.8587906203702e-08,-18.2486953735352,-27.6290721893311,-12.7652244567871,-24.4663143157959,-20.7480926513672,-3.46297588293965e-06,-11.2055997848511,-9.14000415802002,-37.7341270446777,-2.37470149993896,-7.84706735610962
-19.6173477172852,-0.382282972335815,-3.8720735062725e-08,-18.7488250732422,-28.2711486816406,-13.2042140960693,-25.1066989898682,-21.3137912750244,-3.46665979122918e-06,-11.5181121826172,-9.46342945098877,-38.3920593261719,-2.49289679527283,-8.15938854217529
-20.1797275543213,-0.40216475725174,-3.88265597450754e-08,-19.2276763916016,-28.874454498291,-13.6287021636963,-25.7109146118164,-21.8512592315674,-3.46937827089278e-06,-11.8173656463623,-9.77691650390625,-38.9904136657715,-2.61009287834167,-8.46319007873535
